la abundancia ; obfitoœæ
el adiestramiento ; uczenie/tresowanie
el agente de ventas ; przedstawiciel handlowy
El agua del grifo ; woda z kranu
Los ahorros ; oszczêdnoœci
El alba?il ; budowniczy
El alcalde ; burmistrz
La amapola ; mak
La amenaza ; zagro¿enie
Los analgésicos ; œrodki przeciwbólowe
El anfitrión ; gospodarz (host)
El antepasado ; przodek
El apagón ; odciêcie pr¹du (blackout)
La aprensión ; obawa
El apretón ; uœcisk [de mano]
El asalariado ; osoba pobieraj¹ca wyp³atê [pracownik]
El asunto ; sprawa (issue)
El atasco ; korek [na drodze]
Los auriculares ; s³uchawki
El ayuntamiento ; ratusz/gmina
La aportacion ; wk³ad (contribution)
El bufete ; kancelaria prawnicza
El bullicio ; zgie³k
La burocracia ; biurokracja
El calabacín ; cukinia
La calificación ; kwalifikacja
La capa ; warstwa
La carpa/tienda ; namiot
El chisme ; plotka
La chispa ; iskra
El cierre ; zamkniêcie
El circular ; okólnik/sprawozdanie
El cohete ; rakieta
La cola ; ogon
El colador ; durszlak
Los comportamientos ; zachowania
El compatriota ; rodak
El compromiso ; zobowi¹zanie/kompromis
Los condimientos/las especias ; przyprawy
Los contraindicaciones ; przeciwwskazania
La costilla ; ¿ebro
El cuy – œwinka morska;
La decepción ; rozczarowanie
El delantal ; fartuch
El desafío ; wyzwanie
El desasosiego ; niepokój
La despoblación ; depopulacja
Los desviaciones ; odchylenia
La disminución ; zmniejszenie
La divisa ; waluta
El efecto invernadero ; efekt cieplarniany
egresado ; absolwent
La eje ; oœ
El ejercito ; armia
El énfasis ; nacisk 
El entorno ; œrodowisko
El equipamiento ; wyposa¿enie/urzêdzenie
Los escalofríos ; dreszcze
Las especias ; przyprawy
El espesor ; gruboœæ
La estafa ; przekrêt/oszustwo
El estampado ; nadruk (na koszulce)
El fantasma ; duch
La forma ; kszta³t
El fósforo ; zapa³ka
La frambuesa ; malina
El fracaso ; pora¿ka
La frente ; czo³o
El fondo ; t³o
El garbanzo ; ciecierzyca
La garganta ; gard³o
El gasto ; wydatek/koszt
La gestación ; ci¹¿a
La gratificación ; profit/korzyœæ
El feto ; p³ód
La flecha ; strza³a
La fuga ; wyciek
La habilidad ; umiejêtnoœæ (skill)
La herramienta ; narzêdzie
Las horas pico ; godziny szczytu
El hormigón ; beton
El hueco ; luka
La indemnización ; odszkodowanie/zadoœæuczynienie
La inequidad ; nierównoœæ/niesprawiedliwoœæ
El infarto ; zawa³ serca
El ingreso ; zysk/przychód
El inmueble ; nieruchomoœæ
La inquietud ; niepokój/zmartwienie
El interlocutor ; rozmówca
La inundación ; powódŸ
El jerga ; ¿argon
La lagrima ; ³za
El lema ; slogan
Las lentejas ; soczewica
El limbo ; otch³añ
El lucro ; zysk/profit
El martillo ; m³otek
El Molino ; wiatrak
Los moradores ; mieszkañcy
La multa ; grzywna
El odio ; hejt
La ola ; fala
La olla ; garnek
La otitis ; zapalenie ucha
La patria ; ojczyzna
El paro ; strajk/zatrzymanie/bezrobocie
El pasante ; sta¿ysta/praktykant
PBI ; PKB
El pe?asco ; klif/ska³a
La percha – wieszak;
El perejil ; pietruszka
El personaje principal ; g³ówna postaæ
La pesta?a ; rzêsa
El pícaro ; ³obuz
El picnic ; festyn
El pico ; szczyt
El pozo ; studnia
La prestación ; œwiadczenie/zasi³ek
El préstamo ; po¿yczka
El reba?o - stado;
La recolección ; zbiórka
Los recursos naturales ; surowce naturalne
El ronco ; chrypka
El rostro ; twarz
El rótulo ; etykieta
El rubro ; dziedzina/bran¿a
La rueda ; ko³o
El sacerdote ; kap³an
La sanidad pública ; zdrowie publiczne
La sartén ; patelnia
La silla de ruedas ; wózek inwaliczki
El sobre ; koperta
La sombra ; cieñ
Los tacones ; szpilki [buty]
Los talleres ; warsztaty
Los tambores ; perkusja
La tasa de interés ; stopa procentowa
El temer ; strach
El terremoto ; trzêsienie ziemi
La trayecto ; trasa
El truco ; sztuczka (trick)
La tubería ; rura
El tesoro ; skarb
El testigo ; œwiadek
El usuario ; u¿ytkownik
La venganza ; zemsta
La vergüenza ; wstyd
La versión de prueba ; wersja demonstracyjna
Abastecer ; dostarczaæ
Abrumar ; przyt³aczaæ (to overwhelm)
Aconsejar ; radziæ (positive)
Acontecer ; wydarzyæ siê/mieæ miejsce
Acosar ;" nêkaæ (to bully)	"
Adivinar ; zgadn¹æ (to guess)
Advertir ; pouczaæ (negative)/ostrzegaæ
Aguantar ; znosiæ/wytrzymywaæ (to endure)
Agradecer ; dziêkowaæ/byæ wdziêcznym
Apoyar ; wesprzeæ
Aportar ; przyczyniaæ siê
Apurar ; wyjadaæ/wyczerpywaæ
Arriesgar ; ryzykowaæ
Asustar ; przera¿aæ/wystraszyæ
Avergonzar ; zawstydziæ
Batir ; pokonaæ
Brindar ; proponowaæ/wznosiæ toast
Bucear ; nurkowaæ
Cobrar ; zbieraæ/pobieraæ (pieni¹dze)
Compartir ; dzieliæ/udostêpniaæ
Consolar ; pocieszaæ
Criar ; wychowywaæ/hodowaæ
Cubrir ; pokryæ/zatuszowaæ
Desempenar ; wykonywaæ/pe³niæ [funkcjê]
Destacar ; uwidaczniaæ siê/wyró¿niaæ siê
Devolver ; oddawaæ/zwracaæ
Devorar ; po¿eraæ
Difundir ; rozprzestrzeniaæ siê
Dosificar ; dozowaæ
Empeorar ; pogorszyæ siê
Enfatizar ; podkreœlaæ coœ 
Enga?ar ; oszukaæ
Enterarse ; dowiedzieæ siê
Entra?ar ; poci¹gaæ za sob¹ (to entail)
Escupir ; pluæ/spluwaæ
Establecer ; ustaliæ
Estimar ; szacowaæ
Estropear ; zepsuæ
Experimentar ; doœwiadczaæ
Extra?ar ; zaskoczyæ/wydawaæ siê dziwnym
Equivocarse ; myliæ siê/pope³niæ b³¹d
Fastidiar – dokuczaæ/dra¿niæ;
Fingir ; udawaæ
Frenar ; zwolniæ/hamowaæ
Gastar ; wydawaæ [pieni¹dze]
Gestionar ; zarz¹dzaæ [firm¹]
Heredar ; dziedziczyæ
Hojear ; kartkowaæ [przegl¹daæ ‘gazetê’]
Hornear ; piec
Impartir ; prowadziæ (zajêcia)
Imponer ; narzucaæ/nak³adaæ
Inscribir ; zapisaæ/zarejestrowaæ
Instar ; zachêcaæ
Interactuar ; oddzia³ywaæ
Interrumpir ; przerwaæ
Lograr ; osi¹gn¹æ
Manchar ; plamiæ
Matizar ; podkreœlaæ/wyjaœniaæ
Obedecer ; przestrzegaæ (obey)
