la abundancia ; obfitość
el adiestramiento ; uczenie/tresowanie
el agente de ventas ; przedstawiciel handlowy
El agua del grifo ; woda z kranu
Los ahorros ; oszczędności
El albañil ; budowniczy
El alcalde ; burmistrz
La amapola ; mak
La amenaza ; zagrożenie
Los analgésicos ; środki przeciwbólowe
El anfitrión ; gospodarz (host)
El antepasado ; przodek
El apagón ; odcięcie prądu (blackout)
La aprensión ; obawa
El apretón ; uścisk [de mano]
El asalariado ; osoba pobierająca wypłatę [pracownik]
El asunto ; sprawa (issue)
El atasco ; korek [na drodze]
Los auriculares ; słuchawki
El ayuntamiento ; ratusz/gmina
La aportacion ; wkład (contribution)
El bufete ; kancelaria prawnicza
El bullicio ; zgiełk
La burocracia ; biurokracja
El calabacín ; cukinia
La calificación ; kwalifikacja
La capa ; warstwa
La carpa/tienda ; namiot
El chisme ; plotka
La chispa ; iskra
El cierre ; zamknięcie
El circular ; okólnik/sprawozdanie
El cohete ; rakieta
La cola ; ogon
El colador ; durszlak
Los comportamientos ; zachowania
El compatriota ; rodak
El compromiso ; zobowiązanie/kompromis
Los condimientos/las especias ; przyprawy
Los contraindicaciones ; przeciwwskazania
La costilla ; żebro
El cuy – świnka morska
La decepción ; rozczarowanie
El delantal ; fartuch
El desafío ; wyzwanie
El desasosiego ; niepokój
La despoblación ; depopulacja
Los desviaciones ; odchylenia
La disminución ; zmniejszenie
La divisa ; waluta
El efecto invernadero ; efekt cieplarniany
egresado ; absolwent
La eje ; oś
El ejercito ; armia
El énfasis ; nacisk 
El entorno ; środowisko
El equipamiento ; wyposażenie/urzędzenie
Los escalofríos ; dreszcze
Las especias ; przyprawy
El espesor ; grubość
La estafa ; przekręt/oszustwo
El estampado ; nadruk (na koszulce)
El fantasma ; duch
La forma ; kształt
El fósforo ; zapałka
La frambuesa ; malina
El fracaso ; porażka
La frente ; czoło
El fondo ; tło
El garbanzo ; ciecierzyca
La garganta ; gardło
El gasto ; wydatek/koszt
La gestación ; ciąża
La gratificación ; profit/korzyść
El feto ; płód
La flecha ; strzała
La fuga ; wyciek
La habilidad ; umiejętność (skill)
La herramienta ; narzędzie
Las horas pico ; godziny szczytu
El hormigón ; beton
El hueco ; luka
La indemnización ; odszkodowanie/zadośćuczynienie
La inequidad ; nierówność/niesprawiedliwość
El infarto ; zawał serca
El ingreso ; zysk/przychód
El inmueble ; nieruchomość
La inquietud ; niepokój/zmartwienie
El interlocutor ; rozmówca
La inundación ; powódź
El jerga ; żargon
La lagrima ; łza
El lema ; slogan
Las lentejas ; soczewica
El limbo ; otchłań
El lucro ; zysk/profit
El martillo ; młotek
El Molino ; wiatrak
Los moradores ; mieszkańcy
La multa ; grzywna
El odio ; hejt
La ola ; fala
La olla ; garnek
La otitis ; zapalenie ucha
La patria ; ojczyzna
El paro ; strajk/zatrzymanie/bezrobocie
El pasante ; stażysta/praktykant
PBI ; PKB
El peñasco ; klif/skała
La percha – wieszak
El perejil ; pietruszka
El personaje principal ; główna postać
La pestaña ; rzęsa
El pícaro ; łobuz
El picnic ; festyn
El pico ; szczyt
El pozo ; studnia
La prestación ; świadczenie/zasiłek
El préstamo ; pożyczka
El rebaño - stado
La recolección ; zbiórka
Los recursos naturales ; surowce naturalne
El ronco ; chrypka
El rostro ; twarz
El rótulo ; etykieta
El rubro ; dziedzina/branża
La rueda ; koło
El sacerdote ; kapłan
La sanidad pública ; zdrowie publiczne
La sartén ; patelnia
La silla de ruedas ; wózek inwaliczki
El sobre ; koperta
La sombra ; cień
Los tacones ; szpilki [buty]
Los talleres ; warsztaty
Los tambores ; perkusja
La tasa de interés ; stopa procentowa
El temer ; strach
El terremoto ; trzęsienie ziemi
La trayecto ; trasa
El truco ; sztuczka (trick)
La tubería ; rura
El tesoro ; skarb
El testigo ; świadek
El usuario ; użytkownik
La venganza ; zemsta
La vergüenza ; wstyd
La versión de prueba ; wersja demonstracyjna
Abastecer ; dostarczać
Abrumar ; przytłaczać (to overwhelm)
Aconsejar ; radzić (positive)
Acontecer ; wydarzyć się/mieć miejsce
Acosar ; nękać (to bully)	
Adivinar ; zgadnąć (to guess)
Advertir ; pouczać (negative)/ostrzegać
Aguantar ; znosić/wytrzymywać (to endure)
Agradecer ; dziękować/być wdzięcznym
Apoyar ; wesprzeć
Aportar ; przyczyniać się
Apurar ; wyjadać/wyczerpywać
Arriesgar ; ryzykować
Asustar ; przerażać/wystraszyć
Avergonzar ; zawstydzić
Batir ; pokonać
Brindar ; proponować/wznosić toast
Bucear ; nurkować
Cobrar ; zbierać/pobierać (pieniądze)
Compartir ; dzielić/udostępniać
Consolar ; pocieszać
Criar ; wychowywać/hodować
Cubrir ; pokryć/zatuszować
Desempenar ; wykonywać/pełnić [funkcję]
Destacar ; uwidaczniać się/wyróżniać się
Devolver ; oddawać/zwracać
Devorar ; pożerać
Difundir ; rozprzestrzeniać się
Dosificar ; dozować
Empeorar ; pogorszyć się
Enfatizar ; podkreślać coś 
Engañar ; oszukać
Enterarse ; dowiedzieć się
Entrañar ; pociągać za sobą (to entail)
Escupir ; pluć/spluwać
Establecer ; ustalić
Estimar ; szacować
Estropear ; zepsuć
Experimentar ; doświadczać
Extrañar ; zaskoczyć/wydawać się dziwnym
Equivocarse ; mylić się/popełnić błąd
Fastidiar – dokuczać/drażnić
Fingir ; udawać
Frenar ; zwolnić/hamować
Gastar ; wydawać [pieniądze]
Gestionar ; zarządzać [firmą]
Heredar ; dziedziczyć
Hojear ; kartkować [przeglądać ‘gazetę’]
Hornear ; piec
Impartir ; prowadzić (zajęcia)
Imponer ; narzucać/nakładać
Inscribir ; zapisać/zarejestrować
Instar ; zachęcać
Interactuar ; oddziaływać
Interrumpir ; przerwać
Lograr ; osiągnąć
Manchar ; plamić
Matizar ; podkreślać/wyjaśniać
Obedecer ; przestrzegać (obey)
Otorgar ; przyznawać/udzielać
Padecer ; cierpieć 
Poseer ; posiadać
Promover ; promować/awansować
Rechazar ; odmówić/odrzucić (to refuse)
Recoger ; zbierać (to collect)
Rendirse ; poddawać się (to surrender)
Renunciar ; rezygnować / zrzekać się
Resumir ; podsumować
Rodear ; otaczać
Solicitar ; ubiegać się
Soportar ; znosić/wytrzymywać
Sostener ; trzymać/utrzymywać [zdanie]
Suministrar ; dostarczać/zaopatrywać
Surgir ; powstawać/pojawiać się
Temer ; bać się
Tratar ; próbować (to try)
Trazar ; rysować/kreślić
Abarrotado ; przepełniony
Acostumbrado ; przyzwyczajony
